project,tool,use_bazel,use_test
jbcoe_polymorphic_value,github-actions,True,True
bazelbuild_rules_cc,buildkite,True,True
arximboldi_lager,github-actions,False,False
rabbitmq_ra,github-actions,True,True
GoogleCloudPlatform_cloud-data-quality,github-actions,False,False
kythe_kythe,buildkite,True,True
googleapis_gax-java,github-actions,True,True
bazelbuild_rules_python,buildkite,True,True
bazelbuild_rules_python,github-actions,True,True
tweag_rules_haskell,buildkite,True,True
tweag_rules_haskell,github-actions,True,True
jupp0r_prometheus-cpp,github-actions,True,True
aspect-build_rules_js,github-actions,True,True
vaticle_typedb,circleci,True,True
bazelbuild_rules_jvm_external,buildkite,True,True
grab_Grazel,github-actions,True,True
cartographer-project_cartographer,buildkite,True,True
cartographer-project_cartographer,github-actions,False,False
elastic_kibana,buildkite,True,False
elastic_kibana,github-actions,False,False
elastic_kibana,circleci,False,False
JFreegman_toxic,github-actions,False,False
iree-org_iree,github-actions,True,True
memcached_memcached,github-actions,False,False
cockroachdb_cockroach,github-actions,True,False
primihub_primihub,github-actions,True,True
tweag_rules_nixpkgs,github-actions,True,False
googleapis_googleapis,github-actions,True,False
google_cargo-raze,buildkite,True,True
google_cargo-raze,github-actions,False,False
google_closure-templates,buildkite,True,False
google_tensorstore,github-actions,True,False
masc-ucsc_livehd,github-actions,True,True
jpsim_Yams,github-actions,True,True
logur_logur,github-actions,False,False
google_tink,github-actions,True,False
pingcap_tidb,github-actions,False,False
google_elemental2,github-actions,True,False
liuliu_dflat,github-actions,True,True
google_double-conversion,github-actions,True,False
dtolnay_cxx,buildkite,False,False
dtolnay_cxx,github-actions,True,True
ChrisCummins_ProGraML,github-actions,True,True
googleapis_gapic-generator-go,github-actions,True,True
typedorm_typedorm,github-actions,False,False
bazelbuild_rules_go,buildkite,True,True
lewish_asciiflow,github-actions,True,True
bytecodealliance_wasmtime-go,github-actions,True,True
grpc-ecosystem_polyglot,github-actions,True,True
libxsmm_libxsmm,github-actions,False,False
cockroachdb_cockroach-operator,github-actions,True,False
angular_angular,github-actions,False,False
angular_angular,circleci,True,True
android_testing-samples,github-actions,False,False
twitter_finatra,github-actions,False,False
bazelbuild_intellij,buildkite,True,True
bazelbuild_tulsi,buildkite,True,True
bazelbuild_tulsi,github-actions,True,True
apache_incubator-brpc,github-actions,False,False
MobileNativeFoundation_Kronos,github-actions,True,True
adobe_rules_gitops,buildkite,False,False
adobe_rules_gitops,github-actions,True,True
sail-sg_envpool,github-actions,True,False
bufbuild_protoc-gen-validate,github-actions,True,False
prysmaticlabs_prysm,github-actions,True,False
carbon-language_carbon-lang,github-actions,True,True
grpc_grpc-proto,github-actions,True,False
magma_magma,github-actions,True,True
pytorch_FBGEMM,github-actions,True,True
pytorch_FBGEMM,circleci,False,False
sematic-ai_sematic,circleci,True,True
VirusTotal_yara,github-actions,True,True
autodiff_autodiff,github-actions,True,True
CodeIntelligenceTesting_jazzer,buildkite,False,False
CodeIntelligenceTesting_jazzer,github-actions,True,True
grpc-ecosystem_grpc-gateway,buildkite,True,True
grpc-ecosystem_grpc-gateway,github-actions,True,True
google_XNNPACK,github-actions,False,False
LandRover_StaffjoyV2,github-actions,True,True
tensorflow_tfjs,github-actions,False,False
evilcorpltd_aTox,github-actions,True,True
google_incremental-dom,circleci,True,True
google_google-toolbox-for-mac,github-actions,True,True
arximboldi_zug,github-actions,False,False
google_santa,github-actions,True,True
google_re2,github-actions,True,False
envoyproxy_data-plane-api,circleci,True,True
arximboldi_immer,github-actions,False,False
opencurve_curve,github-actions,False,False
material-motion_material-motion-js,circleci,False,False
p4lang_p4c,github-actions,True,False
ceres-solver_ceres-solver,github-actions,False,False
google_differential-privacy,github-actions,True,True
google_benchmark,github-actions,True,True
sogou_workflow,github-actions,False,False
livegrep_livegrep,github-actions,True,True
livegrep_livegrep,circleci,True,False
google_cpu_features,github-actions,True,True
SanderMertens_flecs,github-actions,False,False
bazelbuild_rules_dotnet,buildkite,True,True
wix_exodus,github-actions,True,True
google_clif,github-actions,False,False
google_chrome-ssh-agent,github-actions,True,True
stackb_rules_proto,buildkite,True,True
google-research_turkish-morphology,github-actions,True,True
brendanhay_amazonka,github-actions,True,True
wasmerio_wasmer-go,github-actions,True,False
google_j2cl,github-actions,True,False
bazelbuild_bazel-gazelle,buildkite,True,True
oneapi-src_oneTBB,github-actions,False,False
openconfig_gnoi,github-actions,True,False
android_android-test,github-actions,True,True
apache_rocketmq,github-actions,True,True
mukul-rathi_bolt,circleci,False,False
AcademySoftwareFoundation_openexr,github-actions,True,False
beancount_beancount,github-actions,True,True
vaticle_typedb-studio,circleci,True,False
grpc_grpc-kotlin,github-actions,True,True
jarro2783_cxxopts,github-actions,False,False
Tinder_bazel-diff,github-actions,True,True
keras-team_keras-cv,github-actions,True,False
Neargye_magic_enum,github-actions,True,True
lowRISC_opentitan,github-actions,False,False
antlr_antlr3,github-actions,False,False
KhronosGroup_SPIRV-Tools,github-actions,False,False
ray-project_ray,buildkite,True,True
ray-project_ray,github-actions,False,False
nelhage_rules_boost,buildkite,True,True
nelhage_rules_boost,circleci,True,True
angular_universal,github-actions,False,False
angular_universal,circleci,True,True
quantumlib_Stim,github-actions,True,False
gTile_gTile,buildkite,True,True
gTile_gTile,github-actions,True,True
divergencetech_ethier,buildkite,False,False
divergencetech_ethier,github-actions,True,True
divergencetech_ethier,circleci,False,False
ericniebler_range-v3,github-actions,False,False
VeriSilicon_TIM-VX,github-actions,True,True
facebookresearch_CompilerGym,github-actions,True,True
deepmind_lab,github-actions,True,True
maplibre_maplibre-gl-native,github-actions,False,False
pinterest_xchammer,github-actions,True,True
envoyproxy_envoy,buildkite,True,True
envoyproxy_envoy,github-actions,True,False
tweag_inline-java,buildkite,True,True
tweag_inline-java,circleci,True,True
envoyproxy_envoy-mobile,github-actions,True,True
envoyproxy_envoy-mobile,circleci,False,False
baidu_BaikalDB,github-actions,True,False
bazel-ios_rules_ios,github-actions,True,True
bazelbuild_rules_k8s,buildkite,True,True
catchorg_Catch2,github-actions,False,False
googleapis_google-cloud-cpp,buildkite,True,True
googleapis_google-cloud-cpp,github-actions,False,False
opencivicdata_ocd-division-ids,github-actions,True,True
tensorflow_probability,github-actions,True,True
tweag_sparkle,buildkite,True,False
tweag_sparkle,circleci,True,False
stratum_stratum,circleci,True,True
tensorflow_addons,github-actions,True,True
bazelbuild_rules_apple,buildkite,True,True
PCRE2Project_pcre2,github-actions,False,False
twitter_twitter-server,github-actions,False,False
GoogleContainerTools_distroless,github-actions,True,True
snuspl_nimble,github-actions,False,False
snuspl_nimble,circleci,True,True
angular_angular-cli,github-actions,False,False
angular_angular-cli,circleci,True,True
SeleniumHQ_selenium,github-actions,True,True
pinterest_PodToBUILD,github-actions,False,False
emperror_errors,github-actions,False,False
bazelbuild_bazel-watcher,buildkite,True,True
bazelbuild_bazel-watcher,github-actions,True,True
project-oak_oak,github-actions,True,True
google_nucleus,github-actions,True,True
