project,ci_tool,subcommands,skip_tests,build_tests_only,use_build_tool
martinpaljak_GlobalPlatformPro,github_actions,deploy,False,False,True
martinpaljak_GlobalPlatformPro,github_actions,compile,False,False,True
ExpediaGroup_adaptive-alerting,travis_ci,install,True,False,True
rxtx_rxtx,github_actions,package,False,False,True
rxtx_rxtx,github_actions,help:evaluate,False,False,True
rxtx_rxtx,github_actions,install:install-file,False,False,True
rxtx_rxtx,github_actions,"package,install",False,False,True
languagetool-org_languagetool,github_actions,"clean,package",True,False,True
languagetool-org_languagetool,circle_ci,clean,False,False,True
languagetool-org_languagetool,circle_ci,"clean,install",True,False,True
languagetool-org_languagetool,circle_ci,dependency:go-offline,False,False,True
languagetool-org_languagetool,circle_ci,test,False,False,True
languagetool-org_languagetool,circle_ci,deploy,True,False,True
perwendel_spark,github_actions,test,False,False,True
perwendel_spark,travis_ci,test,False,False,True
perwendel_spark,travis_ci,install,True,False,True
structr_structr,github_actions,"clean,package",True,False,True
structr_structr,github_actions,install,False,False,True
structr_structr,github_actions,"clean,install",True,False,True
OpenAS2_OpenAs2App,github_actions,"clean,package",True,False,True
OpenAS2_OpenAs2App,github_actions,test,False,False,True
OpenAS2_OpenAs2App,travis_ci,test,False,False,True
revelc_formatter-maven-plugin,github_actions,verify,False,False,True
ControlSystemStudio_cs-studio,github_actions,"clean,verify",False,False,True
terasolunaorg_terasoluna-gfw,travis_ci,xml:check-format,False,False,True
terasolunaorg_terasoluna-gfw,travis_ci,formatter:validate,False,False,True
terasolunaorg_terasoluna-gfw,travis_ci,license:check,False,False,True
terasolunaorg_terasoluna-gfw,travis_ci,"clean,install",False,False,True
terasolunaorg_terasoluna-gfw,travis_ci,"jacoco:report,coveralls:report",False,False,True
RWS_odata,github_actions,install,False,False,True
RWS_odata,github_actions,release:prepare,False,False,True
RWS_odata,github_actions,release:perform,False,False,True
jberet_jsr352,github_actions,"clean,package",True,False,True
jberet_jsr352,github_actions,"clean,install",False,False,True
miltonio_milton2,travis_ci,test,False,False,True
miltonio_milton2,travis_ci,install,True,False,True
biojava_biojava,github_actions,verify,False,False,True
resthub_resthub-spring-stack,travis_ci,test,False,False,True
resthub_resthub-spring-stack,travis_ci,install,True,False,True
cmu-phil_tetrad,travis_ci,test,False,False,True
cmu-phil_tetrad,travis_ci,install,True,False,True
cglib_cglib,travis_ci,test,False,False,True
amaembo_streamex,github_actions,versions:set,False,False,True
amaembo_streamex,github_actions,verify,False,False,True
amaembo_streamex,github_actions,jreleaser:release,False,False,True
amaembo_streamex,github_actions,"install,coveralls:report",False,False,True
amaembo_streamex,github_actions,"clean,package",True,False,True
SmartDataAnalytics_DL-Learner,github_actions,compile,False,False,True
jhipster_jhipster-lite,github_actions,"clean,verify",False,False,True
jhipster_jhipster-lite,github_actions,help:evaluate,False,False,True
jhipster_jhipster-lite,github_actions,"clean,verify,sonar:sonar",False,False,True
jhipster_jhipster-lite,github_actions,"initialize,sonar:sonar",False,False,True
lemire_javaewah,github_actions,test,False,False,True
lemire_javaewah,travis_ci,"clean,test",False,False,True
apache_datasketches-java,github_actions,"clean,test",False,False,True
apache_datasketches-java,github_actions,"clean,install",False,False,True
apache_datasketches-java,github_actions,"verify,coveralls:report",False,False,True
apache_datasketches-java,github_actions,"clean,package",True,False,True
yegor256_qulice,github_actions,install,False,False,True
brianfrankcooper_YCSB,travis_ci,test,False,False,True
brianfrankcooper_YCSB,travis_ci,install,True,False,True
ysc_superword,travis_ci,test,False,False,True
cometd_cometd,github_actions,"clean,install",False,False,True
mycontroller-org_mycontroller-v1-legacy,travis_ci,verify,False,False,True
dice-group_gerbil,github_actions,"clean,compile",True,False,True
dice-group_gerbil,github_actions,"jacoco:prepare-agent,package,jacoco:report",False,False,True
