project,id,commit,cache_type,processes,cache_hit,status,size,commits,median_elapsed_time,label
google_brotli,37,a7b7839fd4dfddd7884353a8178e3d57d2a0d4ae,local,54,39,success,1.0,1073.0,23.116,short build duration
google_brotli,38,81dc1c86c3cf5adc387941b5a47b5a937659c9e8,local,54,39,success,87.0,1073.0,21.597,short build duration
google_brotli,39,509d4419bd2e7f40ac97106324abf0b49d9fd7ff,local,54,37,success,45.0,1073.0,27.709,short build duration
google_brotli,40,c8df4b3049ff1283fc4525defbcd003188f88963,local,54,39,success,570.0,1073.0,21.358,short build duration
google_brotli,41,a2cc451df2ec955e38ea9355c29be75461598e5e,local,54,39,success,125.0,1073.0,21.024,short build duration
google_brotli,42,81181ecfb62ec9474a5501ec26c1d14242b4face,local,54,39,success,1.0,1073.0,21.56,short build duration
google_brotli,43,0ff60731f803851cfd816205b32bb1dc6657c3b0,local,54,39,success,6.0,1073.0,21.15,short build duration
google_brotli,44,ce92c95601500990ede414314ca1c6c955277efe,local,54,39,success,12.0,1073.0,21.201,short build duration
google_brotli,45,0ea4603880ff8e344c6642fd38232da3705ebc29,local,54,38,success,4.0,1073.0,23.503,short build duration
google_brotli,46,e3ea91d5c9b553ca727e71e7ebec9035779a07d4,local,54,39,success,53.0,1073.0,20.521,short build duration
google_brotli,47,71fe6cac061ac62c0241f410fbd43a04a6b4f303,local,54,35,success,1.0,1073.0,34.633,short build duration
google_brotli,48,36533a866ed1ca4b75cf049f4521e4ec5fe24727,local,54,7,success,25.0,1073.0,82.369,short build duration
google_brotli,49,2ce0feba3c7440f84d518e42509522ade0cfc856,local,54,39,success,5.0,1073.0,22.148,short build duration
google_brotli,50,1e61e972fbbfe59a03e643e444aeb2904bfe20bf,local,54,14,success,34.0,1073.0,107.827,short build duration
google_brotli,51,04f294b18a1695a6052db26becb85bde1b8ae4a4,local,54,35,success,2.0,1073.0,39.52,short build duration
google_brotli,52,b2c86d1871fe12bffef66a0701dbcaa90419b0a4,local,54,4,success,197.0,1073.0,118.505,short build duration
google_brotli,53,38e9add9d232b5f691b781f7edec1446155ac645,local,54,39,success,11.0,1073.0,21.946,short build duration
google_brotli,54,ed1995b6bda19244070ab5d331111f16f67c8054,local,54,39,success,5.0,1073.0,18.898,short build duration
google_brotli,55,1d8452b783dafd7e2acc0914919d38d46b861765,local,54,7,success,9.0,1073.0,74.772,short build duration
google_brotli,56,bfa15d4046173e47553af692e20e145a95c36084,local,54,39,success,5.0,1073.0,21.124,short build duration
google_brotli,57,50ebce107f5b1eb36760c7ec2d4726ec56784373,local,54,39,success,37.0,1073.0,20.634,short build duration
google_brotli,58,534076fa67d8e961b4032b905461e578df3f1b68,local,54,39,success,24.0,1073.0,20.888,short build duration
google_brotli,59,ec107cf015139c791f79afac0f96c3a2c45e157f,local,54,39,success,72.0,1073.0,20.634,short build duration
google_brotli,60,e07b6148fd5dde52a46dc0fdab3431e30ba079b7,local,54,39,success,59.0,1073.0,21.374,short build duration
google_brotli,61,6f7f5a163d76d05abe0708cb18bfb24a873af72e,local,54,39,success,10.0,1073.0,20.867,short build duration
google_brotli,62,6db17c87f5b7b31c5fba5ef5be0e00edb0c97147,local,54,31,success,662.0,1073.0,40.871,short build duration
google_brotli,63,57c36a4f273f0e71d1a65887f1bbf0edb79d3a11,local,54,35,success,11.0,1073.0,32.539,short build duration
google_brotli,64,cb1ced3a258782d67af6914474764d86b5d26e2f,local,54,31,success,100.0,1073.0,39.202,short build duration
google_brotli,65,f29c44ed38db167be86e734c302b50cdc6b29227,local,54,31,success,5.0,1073.0,40.418,short build duration
google_brotli,66,745fd08ef29ba7c86def64a21905fa7a9a7b89a6,local,54,39,success,63.0,1073.0,20.635,short build duration
google_brotli,67,e5dba91c387bed8b2a6c9e352f48b27864411b66,local,54,7,success,17.0,1073.0,70.018,short build duration
google_brotli,68,e9c47ed469ae068bd816c74360b9b7a44b0a063a,local,54,39,success,900.0,1073.0,23.311,short build duration
google_brotli,69,3afc509b848de9338211ae76500f22ba1aa5dd3d,local,54,39,success,138.0,1073.0,20.66,short build duration
google_brotli,70,c0a43495ea3e4dca590b8ad1f9ee0e7cb9bb3d83,local,54,39,success,2.0,1073.0,21.72,short build duration
google_brotli,71,e1f5788fb0dfbe8003727802e931d1dbeaf68ae1,local,54,35,success,5.0,1073.0,46.12,short build duration
google_brotli,72,ffbe112328faa132f9ad7a42485c8056944bfba7,local,54,39,success,784.0,1073.0,23.438,short build duration
google_brotli,73,efe140adae6e841e80be8796323e73c66d83428b,local,54,39,success,1783.0,1073.0,22.289,short build duration
google_brotli,74,11abde4c96a72a41fbbf48181375527accd4e212,local,54,39,success,2523.0,1073.0,21.824,short build duration
google_brotli,75,e252f1fc155cf62d147766a33734b0ce0a4caf30,local,54,31,success,88.0,1073.0,43.824,short build duration
google_brotli,76,6ee96e291db87ccea9b8451a23de0aa0d93d194d,local,54,7,success,210.0,1073.0,81.161,short build duration
google_brotli,77,bc32ae12d575520fcf7b0a82f0e660b7e2705043,local,54,39,success,7.0,1073.0,21.033,short build duration
google_brotli,78,28257b2e678c0a82ffc888729511471b4d85825c,local,54,39,success,6.0,1073.0,21.25,short build duration
google_brotli,79,11b8d7cb8aeae469bac87393f817db280e5df1cf,local,54,39,success,32.0,1073.0,20.99,short build duration
google_brotli,80,dd3eb162b071dbceb227d29bd523a37aff712219,local,54,39,success,88.0,1073.0,22.358,short build duration
google_brotli,81,413b098564a90a2e6cae192d30642d33a9197a39,local,54,39,success,7.0,1073.0,21.933,short build duration
google_brotli,82,70e7b1ae4a3f3cd0009cbcc81e66330780c16653,local,54,39,success,67.0,1073.0,20.286,short build duration
google_brotli,83,2e6164d7b0b7bdcb5d731bee6dd0f4e06708e006,local,54,34,success,31.0,1073.0,35.451,short build duration
google_brotli,84,2d0947f1ea22dc255cfac9c7e8b33576fb051340,local,54,39,success,23.0,1073.0,21.553,short build duration
google_brotli,85,d1fadddc940a23de3fad34c02879d7cfa6f86460,local,54,39,success,528.0,1073.0,21.556,short build duration
google_brotli,86,de52bc7ce07899b940b9120ec01950e171cd1a6a,local,54,39,success,249.0,1073.0,22.463,short build duration
google_brotli,87,c2848d5537c0a06aee497dd4fa2cc17505415e19,local,54,39,success,121.0,1073.0,20.676,short build duration
google_brotli,88,c3dc7d039c1587389245f05fe960897016bd290f,local,54,31,success,24.0,1073.0,42.286,short build duration
google_brotli,89,4b827e4ce47bea2e2d6ca7ebeae64d1d5c9a2f0d,local,54,39,success,256.0,1073.0,21.019,short build duration
google_brotli,90,acc265655d6dde4ff1bce65308e9e152fbf3381a,local,54,39,success,102.0,1073.0,19.64,short build duration
google_brotli,91,779a49bfd67793f64b43015a85bc5965fba2063f,local,54,14,success,16.0,1073.0,77.336,short build duration
google_brotli,0,4969984a95534a508f93b38c74d150e86ef333f4,external,51,0,success,2.0,1073.0,31.664,short build duration
google_brotli,1,0e8afdc968f3b7c891379e558b8dcaf42d93703b,external,51,0,success,2.0,1073.0,29.83,short build duration
google_brotli,2,f16845614dd2c5a7de054a6dd9617296d7e25c30,external,51,0,success,4.0,1073.0,30.276,short build duration
google_brotli,3,5692e422da6af1e991f9182345d58df87866bc5e,external,51,0,success,1203.0,1073.0,30.32,short build duration
google_brotli,4,2a51a85aa86abb4c294c65fab57f3d9c69f10080,external,51,0,success,2.0,1073.0,31.197,short build duration
google_brotli,5,63be8a99401992075c23e99f7c84de1c653e39e2,external,51,0,success,5.0,1073.0,29.749,short build duration
google_brotli,6,2f9277ff2f2d0b4113b1ffd9753cc0f6973d354a,external,51,0,success,37.0,1073.0,30.363,short build duration
google_brotli,7,bbe5d72ba37b164c4e8e0d7baeb78a22aa849c38,external,51,0,success,49.0,1073.0,29.263,short build duration
google_brotli,8,f8c671774514357abec2f6b14c8ee13c6fd885d3,external,51,0,success,914.0,1073.0,29.977,short build duration
google_brotli,9,bdcfb123c86c005ee7fbe7e47373f29cb0f48ab7,external,51,0,success,2.0,1073.0,28.912,short build duration
google_brotli,10,0a3944c8c99b8d10cc4325f721b7c273d2b41f7b,external,51,0,success,11.0,1073.0,29.435,short build duration
google_brotli,11,ce222e317e36aa362e83fc50c7a6226d238e03fd,external,51,0,success,18.0,1073.0,29.951,short build duration
google_brotli,12,630b5084ee255549d25d6da7ec50b7a53861d95a,external,51,0,success,1172.0,1073.0,30.333,short build duration
google_brotli,13,19d86fb9a60aa7034d4981b69a5b656f5b90017e,external,54,0,success,3104.0,1073.0,30.792,short build duration
google_brotli,14,68f1b90ad0d204907beb58304d0bd06391001a4d,external,54,0,success,3072.0,1073.0,30.57,short build duration
google_brotli,15,0e42caf3591d09d156c2b35462bc91a04e903b39,external,54,0,success,1066.0,1073.0,29.842,short build duration
google_brotli,16,a10269cea15af5a0172beb05b4414fc0d9c545af,external,54,0,success,3.0,1073.0,30.15,short build duration
google_brotli,17,698e3a7f9d3000fa44174f5be415bf713f71bd0e,external,54,0,success,2.0,1073.0,29.966,short build duration
google_brotli,18,62662f87cdd96deda90ac817de94e3c4af75226a,external,54,0,success,480.0,1073.0,28.964,short build duration
google_brotli,19,27dd7265403d8e8fed99a854b9c3e1db7d79525f,external,54,0,success,11.0,1073.0,30.574,short build duration
google_brotli,20,8376f72ed6a8ca01548aad1a4f4f1df33094d3e0,external,54,0,success,435.0,1073.0,30.194,short build duration
google_brotli,21,4ec67035c0d97c270c1c73038cc66fc5fcdfc120,external,54,0,success,11.0,1073.0,29.259,short build duration
google_brotli,22,e83c7b8e8fb8b696a1df6866bc46cbb76d7e0348,external,54,0,success,5.0,1073.0,30.397,short build duration
google_brotli,23,f4153a09f87cbb9c826d8fc12c74642bb2d879ea,external,54,0,success,2.0,1073.0,31.07,short build duration
google_brotli,24,c9eb85691ff436a4d7cd7cd33d64255126ef635c,external,54,0,success,16.0,1073.0,29.182,short build duration
google_brotli,25,f09b2555acf46810184c8cdccdb274b9c20e83eb,external,54,0,success,2.0,1073.0,30.135,short build duration
google_brotli,26,9801a2c5d6c67c467ffad676ac301379bb877fc3,external,54,0,success,2.0,1073.0,28.759,short build duration
google_brotli,27,6d03dfbedda1615c4cba1211f8d81735575209c8,external,54,0,success,4.0,1073.0,30.977,short build duration
google_brotli,28,388d0d53fb29271492537015beeed91b74076411,external,54,0,success,3.0,1073.0,30.431,short build duration
google_brotli,29,a8f5813b843b7ec469dbd3d8a6a8743395359964,external,54,0,success,1314.0,1073.0,31.309,short build duration
google_brotli,30,ae212a792e470b7a07dbb8fb4a5b3d78e1de78d1,external,54,0,success,12.0,1073.0,32.358,short build duration
google_brotli,31,f842c1bcf9264431cd3b15429a72b7dafbe80509,external,54,0,success,2.0,1073.0,32.595,short build duration
google_brotli,32,3914999fcc1fda92e750ef9190aa6db9bf7bdb07,external,54,0,success,2.0,1073.0,29.768,short build duration
google_brotli,33,641bec0e30bea648b3da1cd90fc6b44deb429f71,external,54,0,success,52.0,1073.0,31.565,short build duration
google_brotli,34,9b537032371a234d32829def19f4d671e22fde0e,external,54,0,success,14.0,1073.0,30.872,short build duration
google_brotli,35,c48ebca4a8d852eae4a6f1c7609878a784649f41,external,54,0,success,15.0,1073.0,30.149,short build duration
google_brotli,36,3152d995b397f4a3ba9da8c2959cbe5ace7d2ee5,external,54,0,success,16.0,1073.0,30.747,short build duration
google_brotli,37,a7b7839fd4dfddd7884353a8178e3d57d2a0d4ae,external,54,0,success,1.0,1073.0,31.861,short build duration
google_brotli,38,81dc1c86c3cf5adc387941b5a47b5a937659c9e8,external,54,0,success,87.0,1073.0,31.065,short build duration
google_brotli,39,509d4419bd2e7f40ac97106324abf0b49d9fd7ff,external,54,0,success,45.0,1073.0,29.684,short build duration
google_brotli,40,c8df4b3049ff1283fc4525defbcd003188f88963,external,54,0,success,570.0,1073.0,32.213,short build duration
google_brotli,41,a2cc451df2ec955e38ea9355c29be75461598e5e,external,54,0,success,125.0,1073.0,33.434,short build duration
google_brotli,42,81181ecfb62ec9474a5501ec26c1d14242b4face,external,54,0,success,1.0,1073.0,31.169,short build duration
google_brotli,43,0ff60731f803851cfd816205b32bb1dc6657c3b0,external,54,0,success,6.0,1073.0,32.08,short build duration
google_brotli,44,ce92c95601500990ede414314ca1c6c955277efe,external,54,0,success,12.0,1073.0,32.123,short build duration
google_brotli,45,0ea4603880ff8e344c6642fd38232da3705ebc29,external,54,0,success,4.0,1073.0,30.706,short build duration
google_brotli,46,e3ea91d5c9b553ca727e71e7ebec9035779a07d4,external,54,0,success,53.0,1073.0,32.427,short build duration
google_brotli,47,71fe6cac061ac62c0241f410fbd43a04a6b4f303,external,54,0,success,1.0,1073.0,31.946,short build duration
google_brotli,48,36533a866ed1ca4b75cf049f4521e4ec5fe24727,external,54,0,success,25.0,1073.0,31.272,short build duration
google_brotli,49,2ce0feba3c7440f84d518e42509522ade0cfc856,external,54,0,success,5.0,1073.0,30.966,short build duration
google_brotli,50,1e61e972fbbfe59a03e643e444aeb2904bfe20bf,external,54,0,success,34.0,1073.0,30.191,short build duration
google_brotli,51,04f294b18a1695a6052db26becb85bde1b8ae4a4,external,54,0,success,2.0,1073.0,31.957,short build duration
google_brotli,52,b2c86d1871fe12bffef66a0701dbcaa90419b0a4,external,54,0,success,197.0,1073.0,30.824,short build duration
google_brotli,53,38e9add9d232b5f691b781f7edec1446155ac645,external,54,0,success,11.0,1073.0,32.709,short build duration
google_brotli,54,ed1995b6bda19244070ab5d331111f16f67c8054,external,54,0,success,5.0,1073.0,31.599,short build duration
google_brotli,55,1d8452b783dafd7e2acc0914919d38d46b861765,external,54,0,success,9.0,1073.0,31.009,short build duration
google_brotli,56,bfa15d4046173e47553af692e20e145a95c36084,external,54,0,success,5.0,1073.0,30.574,short build duration
google_brotli,57,50ebce107f5b1eb36760c7ec2d4726ec56784373,external,54,0,success,37.0,1073.0,32.486,short build duration
google_brotli,58,534076fa67d8e961b4032b905461e578df3f1b68,external,54,0,success,24.0,1073.0,32.466,short build duration
google_brotli,59,ec107cf015139c791f79afac0f96c3a2c45e157f,external,54,0,success,72.0,1073.0,30.86,short build duration
google_brotli,60,e07b6148fd5dde52a46dc0fdab3431e30ba079b7,external,54,0,success,59.0,1073.0,30.041,short build duration
google_brotli,61,6f7f5a163d76d05abe0708cb18bfb24a873af72e,external,54,0,success,10.0,1073.0,29.569,short build duration
google_brotli,62,6db17c87f5b7b31c5fba5ef5be0e00edb0c97147,external,54,0,success,662.0,1073.0,30.77,short build duration
google_brotli,63,57c36a4f273f0e71d1a65887f1bbf0edb79d3a11,external,54,0,success,11.0,1073.0,31.756,short build duration
google_brotli,64,cb1ced3a258782d67af6914474764d86b5d26e2f,external,54,0,success,100.0,1073.0,29.799,short build duration
google_brotli,65,f29c44ed38db167be86e734c302b50cdc6b29227,external,54,0,success,5.0,1073.0,30.625,short build duration
google_brotli,66,745fd08ef29ba7c86def64a21905fa7a9a7b89a6,external,54,0,success,63.0,1073.0,30.383,short build duration
google_brotli,67,e5dba91c387bed8b2a6c9e352f48b27864411b66,external,54,0,success,17.0,1073.0,31.788,short build duration
google_brotli,68,e9c47ed469ae068bd816c74360b9b7a44b0a063a,external,54,0,success,900.0,1073.0,31.654,short build duration
google_brotli,69,3afc509b848de9338211ae76500f22ba1aa5dd3d,external,54,0,success,138.0,1073.0,30.673,short build duration
google_brotli,70,c0a43495ea3e4dca590b8ad1f9ee0e7cb9bb3d83,external,54,0,success,2.0,1073.0,31.996,short build duration
google_brotli,71,e1f5788fb0dfbe8003727802e931d1dbeaf68ae1,external,54,0,success,5.0,1073.0,30.858,short build duration
google_brotli,72,ffbe112328faa132f9ad7a42485c8056944bfba7,external,54,0,success,784.0,1073.0,30.37,short build duration
google_brotli,73,efe140adae6e841e80be8796323e73c66d83428b,external,54,0,success,1783.0,1073.0,31.17,short build duration
google_brotli,74,11abde4c96a72a41fbbf48181375527accd4e212,external,54,0,success,2523.0,1073.0,32.654,short build duration
google_brotli,75,e252f1fc155cf62d147766a33734b0ce0a4caf30,external,54,0,success,88.0,1073.0,32.282,short build duration
google_brotli,76,6ee96e291db87ccea9b8451a23de0aa0d93d194d,external,54,0,success,210.0,1073.0,30.483,short build duration
google_brotli,77,bc32ae12d575520fcf7b0a82f0e660b7e2705043,external,54,0,success,7.0,1073.0,31.227,short build duration
google_brotli,78,28257b2e678c0a82ffc888729511471b4d85825c,external,54,0,success,6.0,1073.0,31.809,short build duration
google_brotli,79,11b8d7cb8aeae469bac87393f817db280e5df1cf,external,54,0,success,32.0,1073.0,32.101,short build duration
google_brotli,80,dd3eb162b071dbceb227d29bd523a37aff712219,external,54,0,success,88.0,1073.0,30.915,short build duration
google_brotli,81,413b098564a90a2e6cae192d30642d33a9197a39,external,54,0,success,7.0,1073.0,31.654,short build duration
google_brotli,82,70e7b1ae4a3f3cd0009cbcc81e66330780c16653,external,54,0,success,67.0,1073.0,30.972,short build duration
google_brotli,83,2e6164d7b0b7bdcb5d731bee6dd0f4e06708e006,external,54,0,success,31.0,1073.0,33.345,short build duration
