project,ci_tool,local_cache,remote_cache,use_parallelization
qtc-de_beanshooter,github_actions,True,False,False
SourceLabOrg_kafka-webview,github_actions,True,False,False
RUB-NDS_WS-Attacker,travis_ci,False,False,False
thiagolocatelli_parse4j,travis_ci,False,False,False
dtprj_dongting,github_actions,True,False,False
1C-Company_v8-code-style,github_actions,True,False,False
1C-Company_v8-code-style,github_actions,False,False,False
ExpediaGroup_styx,travis_ci,True,False,False
alexkvak_teamcity-slack,travis_ci,False,False,False
tipsy_j2html,github_actions,False,False,False
baomidou_mybatis-plus-samples,travis_ci,True,False,False
apache_incubator-celeborn,github_actions,True,False,False
julianhyde_linq4j,travis_ci,False,False,False
java-diff-utils_java-diff-utils,github_actions,True,False,False
java-diff-utils_java-diff-utils,travis_ci,False,False,False
fusesource_hawtjni,travis_ci,False,False,False
datumbox_datumbox-framework,travis_ci,True,False,False
zhaojun1998_Shiro-Action,travis_ci,False,False,False
gtiwari333_spring-boot-web-application-sample,github_actions,False,False,False
danielflower_multi-module-maven-release-plugin,github_actions,False,False,False
lyogavin_Pistachio,travis_ci,False,False,False
Byron4j_CookBook,travis_ci,False,False,False
dromara_raincat,travis_ci,False,False,False
spoofzu_DeepViolet,travis_ci,True,False,False
tushartushar_DesigniteJava,github_actions,False,False,False
nipafx_demo-java-x,github_actions,False,False,False
mikera_imagez,travis_ci,False,False,False
mojohaus_exec-maven-plugin,github_actions,True,False,False
simpligility_maven-repository-tools,github_actions,True,False,False
checkstyle_sonar-checkstyle,travis_ci,True,False,False
Pi4J_pi4j-v2,github_actions,False,False,False
baidu_brcc,travis_ci,True,False,False
jenkinsci_hashicorp-vault-plugin,github_actions,False,False,False
jenkinsci_ansible-plugin,github_actions,False,False,False
jenkinsci_embeddable-build-status-plugin,github_actions,False,False,False
openzipkin_zipkin-reporter-java,github_actions,True,False,False
bpodgursky_jbool_expressions,github_actions,False,False,False
