project,subcommand,elapsed_time,critical_path,parallelism,target,commits
google_chrome-ssh-agent,build,724.223,373.2,1,//:all,359.0
google_chrome-ssh-agent,build,415.822,176.09,2,//:all,359.0
google_chrome-ssh-agent,build,326.415,196.47,2,//:all,359.0
google_chrome-ssh-agent,build,395.322,194.73,2,//:all,359.0
google_chrome-ssh-agent,build,356.877,189.01,2,//:all,359.0
google_chrome-ssh-agent,build,384.987,196.31,2,//:all,359.0
google_chrome-ssh-agent,build,307.006,183.8,2,//:all,359.0
google_chrome-ssh-agent,build,390.05,253.21,2,//:all,359.0
google_chrome-ssh-agent,build,361.342,186.93,2,//:all,359.0
google_chrome-ssh-agent,build,382.467,237.81,2,//:all,359.0
google_chrome-ssh-agent,build,316.2,179.06,2,//:all,359.0
google_closure-templates,build,1207.17,961.59,1,...,5142.0
google_closure-templates,build,1210.054,960.15,1,...,5142.0
google_closure-templates,build,1116.112,937.44,1,...,5142.0
google_closure-templates,build,1118.387,949.5,1,...,5142.0
google_closure-templates,build,1147.181,932.33,1,...,5142.0
google_closure-templates,build,1159.686,914.24,1,...,5142.0
google_closure-templates,build,1146.27,969.67,1,...,5142.0
google_closure-templates,build,1156.79,956.33,1,...,5142.0
google_closure-templates,build,1048.249,871.45,1,...,5142.0
google_closure-templates,build,1037.831,883.9,1,...,5142.0
google_closure-templates,build,534.512,455.81,2,...,5142.0
google_closure-templates,build,564.903,501.97,2,...,5142.0
google_closure-templates,build,500.569,434.16,2,...,5142.0
google_closure-templates,build,584.171,480.52,2,...,5142.0
google_closure-templates,build,578.567,505.42,2,...,5142.0
google_closure-templates,build,579.591,511.55,2,...,5142.0
google_closure-templates,build,502.546,422.65,2,...,5142.0
google_closure-templates,build,567.012,434.94,2,...,5142.0
google_closure-templates,build,564.842,478.74,2,...,5142.0
google_closure-templates,build,584.89,511.07,2,...,5142.0
google_flatbuffers,build,290.582,165.15,1,//:all,2879.0
google_flatbuffers,build,296.072,165.72,1,//:all,2879.0
google_flatbuffers,build,384.59,252.02,1,//:all,2879.0
google_flatbuffers,build,384.819,254.29,1,//:all,2879.0
google_flatbuffers,build,302.223,176.96,1,//:all,2879.0
