project,build_tool,name,category
apache_commons-jexl,maven,org.apache.rat:apache-rat-plugin,external
apache_commons-jexl,maven,org.apache.maven.plugins:maven-javadoc-plugin,native
apache_commons-jexl,maven,org.apache.maven.plugins:maven-pmd-plugin,native
apache_commons-jexl,maven,com.github.siom79.japicmp:japicmp-maven-plugin,external
apache_commons-jexl,maven,org.codehaus.mojo:animal-sniffer-maven-plugin,external
mcMMO-Dev_mcMMO,maven,org.apache.maven.plugins:maven-release-plugin,native
mcMMO-Dev_mcMMO,maven,org.apache.maven.plugins:maven-compiler-plugin,native
mcMMO-Dev_mcMMO,maven,org.apache.maven.plugins:maven-shade-plugin,native
spdx_tools,maven,org.spdx:spdx-maven-plugin,custom
spdx_tools,maven,org.apache.maven.plugins:maven-compiler-plugin,native
spdx_tools,maven,org.apache.maven.plugins:maven-resources-plugin,native
spdx_tools,maven,org.apache.maven.plugins:maven-javadoc-plugin,native
spdx_tools,maven,org.apache.maven.plugins:maven-javadoc-plugin,native
spdx_tools,maven,org.apache.maven.plugins:maven-shade-plugin,native
spdx_tools,maven,org.apache.maven.plugins:maven-source-plugin,native
davidmoten_xsd-forms,maven,net.alchim31.maven:scala-maven-plugin,external
davidmoten_xsd-forms,maven,org.apache.maven.plugins:maven-surefire-plugin,native
davidmoten_xsd-forms,maven,org.codehaus.mojo:build-helper-maven-plugin,external
davidmoten_xsd-forms,maven,org.apache.maven.plugins:maven-source-plugin,native
davidmoten_xsd-forms,maven,org.mortbay.jetty:jetty-maven-plugin,external
davidmoten_xsd-forms,maven,${project.parent.groupId}:xsd-forms-maven-plugin,external
davidmoten_xsd-forms,maven,org.codehaus.mojo:build-helper-maven-plugin,external
davidmoten_xsd-forms,maven,org.apache.maven.plugins:maven-deploy-plugin,native
davidmoten_xsd-forms,maven,org.mortbay.jetty:jetty-maven-plugin,external
davidmoten_xsd-forms,maven,org.apache.maven.plugins:maven-dependency-plugin,native
davidmoten_xsd-forms,maven,net.alchim31.maven:scala-maven-plugin,external
davidmoten_xsd-forms,maven,org.scalaxb:scalaxb-maven-plugin,external
davidmoten_xsd-forms,maven,org.apache.maven.plugins:maven-source-plugin,native
davidmoten_xsd-forms,maven,org.codehaus.mojo:build-helper-maven-plugin,external
davidmoten_xsd-forms,maven,org.apache.maven.plugins:maven-plugin-plugin,native
davidmoten_xsd-forms,maven,org.apache.maven.plugins:maven-compiler-plugin,native
davidmoten_xsd-forms,maven,org.apache.maven.plugins:maven-compiler-plugin,native
davidmoten_xsd-forms,maven,${project.parent.groupId}:file-list-maven-plugin,external
davidmoten_xsd-forms,maven,org.codehaus.mojo:build-helper-maven-plugin,external
davidmoten_xsd-forms,maven,org.apache.maven.plugins:maven-deploy-plugin,native
davidmoten_xsd-forms,maven,org.apache.maven.plugins:maven-plugin-plugin,native
davidmoten_xsd-forms,maven,org.apache.maven.plugins:maven-compiler-plugin,native
anyascii_anyascii,maven,org.apache.maven.plugins:maven-clean-plugin,native
anyascii_anyascii,maven,org.apache.maven.plugins:maven-resources-plugin,native
anyascii_anyascii,maven,org.apache.maven.plugins:maven-compiler-plugin,native
anyascii_anyascii,maven,org.apache.maven.plugins:maven-surefire-plugin,native
anyascii_anyascii,maven,org.apache.maven.plugins:maven-jar-plugin,native
anyascii_anyascii,maven,org.apache.maven.plugins:maven-install-plugin,native
anyascii_anyascii,maven,org.jetbrains.kotlin:kotlin-maven-plugin,external
anyascii_anyascii,maven,org.codehaus.mojo:exec-maven-plugin,external
flapdoodle-oss_de.flapdoodle.embed.process,maven,org.codehaus.mojo:versions-maven-plugin,external
flapdoodle-oss_de.flapdoodle.embed.process,maven,org.apache.maven.plugins:maven-compiler-plugin,native
flapdoodle-oss_de.flapdoodle.embed.process,maven,org.apache.maven.plugins:maven-resources-plugin,native
flapdoodle-oss_de.flapdoodle.embed.process,maven,org.apache.maven.plugins:maven-enforcer-plugin,native
flapdoodle-oss_de.flapdoodle.embed.process,maven,org.apache.maven.plugins:maven-source-plugin,native
flapdoodle-oss_de.flapdoodle.embed.process,maven,org.apache.maven.plugins:maven-surefire-plugin,native
flapdoodle-oss_de.flapdoodle.embed.process,maven,com.mycila:license-maven-plugin,external
flapdoodle-oss_de.flapdoodle.embed.process,maven,org.apache.maven.plugins:maven-checkstyle-plugin,native
flapdoodle-oss_de.flapdoodle.embed.process,maven,org.apache.maven.plugins:maven-jxr-plugin,native
flapdoodle-oss_de.flapdoodle.embed.process,maven,org.apache.felix:maven-bundle-plugin,external
flapdoodle-oss_de.flapdoodle.embed.process,maven,org.jacoco:jacoco-maven-plugin,external
flapdoodle-oss_de.flapdoodle.embed.process,maven,org.apache.maven.plugins:maven-javadoc-plugin,native
flapdoodle-oss_de.flapdoodle.embed.process,maven,org.apache.maven.plugins:maven-toolchains-plugin,native
terrier-org_terrier-core,maven,org.apache.maven.plugins:maven-enforcer-plugin,native
terrier-org_terrier-core,maven,org.apache.maven.plugins:maven-compiler-plugin,native
terrier-org_terrier-core,maven,org.apache.maven.plugins:maven-resources-plugin,native
terrier-org_terrier-core,maven,org.codehaus.mojo:javacc-maven-plugin,external
terrier-org_terrier-core,maven,org.codehaus.mojo:build-helper-maven-plugin,external
terrier-org_terrier-core,maven,org.apache.maven.plugins:maven-surefire-plugin,native
terrier-org_terrier-core,maven,org.apache.maven.plugins:maven-jar-plugin,native
terrier-org_terrier-core,maven,org.apache.maven.plugins:maven-javadoc-plugin,native
ngageoint_mrgeo,maven,org.apache.maven.plugins:maven-jar-plugin,native
ngageoint_mrgeo,maven,org.apache.maven.plugins:maven-clean-plugin,native
ngageoint_mrgeo,maven,org.apache.maven.plugins:maven-dependency-plugin,native
ngageoint_mrgeo,maven,org.apache.maven.plugins:maven-jar-plugin,native
ngageoint_mrgeo,maven,org.apache.maven.plugins:maven-install-plugin,native
ngageoint_mrgeo,maven,org.apache.maven.plugins:maven-deploy-plugin,native
ngageoint_mrgeo,maven,org.codehaus.mojo:findbugs-maven-plugin,external
ngageoint_mrgeo,maven,org.apache.maven.plugins:maven-release-plugin,native
ngageoint_mrgeo,maven,org.apache.maven.plugins:maven-war-plugin,native
ngageoint_mrgeo,maven,org.codehaus.mojo:build-helper-maven-plugin,external
ngageoint_mrgeo,maven,org.codehaus.mojo:cobertura-maven-plugin,external
ngageoint_mrgeo,maven,org.mrgeo.plugins:pomtools-maven-plugin,external
ngageoint_mrgeo,maven,org.apache.maven.plugins:maven-install-plugin,native
ngageoint_mrgeo,maven,org.apache.maven.plugins:maven-deploy-plugin,native
ngageoint_mrgeo,maven,org.scala-tools:maven-scala-plugin,external
ngageoint_mrgeo,maven,org.codehaus.mojo:findbugs-maven-plugin,external
ngageoint_mrgeo,maven,com.google.code.maven-replacer-plugin:maven-replacer-plugin,external
ngageoint_mrgeo,maven,com.google.code.maven-replacer-plugin:maven-replacer-plugin,external
ngageoint_mrgeo,maven,org.apache.maven.plugins:maven-install-plugin,native
ngageoint_mrgeo,maven,org.codehaus.mojo:findbugs-maven-plugin,external
ngageoint_mrgeo,maven,org.codehaus.mojo:build-helper-maven-plugin,external
ngageoint_mrgeo,maven,org.xolstice.maven.plugins:protobuf-maven-plugin,external
ngageoint_mrgeo,maven,org.codehaus.mojo:exec-maven-plugin,external
ngageoint_mrgeo,maven,org.scala-tools:maven-scala-plugin,external
ngageoint_mrgeo,maven,org.scalatest:scalatest-maven-plugin,external
