project,ci_tool,build_tool,raw_arguments,local_cache,remote_cache,parallelism
buildbuddy-io_buildbuddy,github_actions,bazel,build //website:website,False,False,2
airyhq_airy,github_actions,bazel,test --test_tag_filters=-lint //...,False,False,2
airyhq_airy,github_actions,bazel,build //...,False,False,2
grpc-ecosystem_java-grpc-prometheus,github_actions,bazel,test //src/...,False,False,2
google_googletest,github_actions,bazel,test --cxxopt=-std=c++14 --features=external_include_paths --test_output=errors ...,False,False,2
google_googletest,github_actions,bazel,test --cxxopt=-std=c++14 --features=external_include_paths --test_output=errors ...,False,False,3
google_googletest,github_actions,bazel,test --cxxopt=/std:c++14 --features=external_include_paths --test_output=errors ...,False,False,2
thundergolfer_example-bazel-monorepo,buildkite,bazel,test //...,False,False,2
google_brunsli,github_actions,bazel,build -c opt ...:all,False,False,2
google_brunsli,github_actions,bazel,test -c opt ...:all,False,False,2
deepmind_lab2d,github_actions,bazel,--bazelrc=.bazelrc build --config=lua5_1 ${{ matrix.config }} //...,False,False,2
deepmind_lab2d,github_actions,bazel,--bazelrc=.bazelrc build --config=lua5_2 ${{ matrix.config }} //...,False,False,2
deepmind_lab2d,github_actions,bazel,--bazelrc=.bazelrc build --config=luajit ${{ matrix.config }} //...,False,False,2
deepmind_lab2d,github_actions,bazel,--bazelrc=.bazelrc build --compilation_mode=opt --dynamic_mode=off --config=lua5_1 ${{ matrix.cfg.config }} //dmlab2d:dmlab2d_wheel,False,False,2
google_schedviz,github_actions,bazel,build server,False,False,2
google_schedviz,github_actions,bazel,test //...,False,False,2
tensorflow_tensorboard,github_actions,bazel,fetch //tensorboard/...,False,False,2
tensorflow_tensorboard,github_actions,bazel,test //tensorboard/...,False,False,2
tensorflow_tensorboard,github_actions,bazel,test //tensorboard/... --test_tag_filters="support_notf",False,False,2
tensorflow_tensorboard,github_actions,bazel,run //tensorboard/pip_package:test_pip_package -- \,False,False,2
tensorflow_tensorboard,github_actions,bazel,run //tensorboard/pip_package:test_pip_package -- \,False,False,2
tensorflow_tensorboard,github_actions,bazel,test //tensorboard/compat/tensorflow_stub:gfile_s3_test &&,False,False,2
vaticle_biograkn,circle_ci,bazel,build //...,False,False,2
vaticle_biograkn,circle_ci,bazel,run @graknlabs_build_tools//unused_deps -- list,False,False,2
vaticle_biograkn,circle_ci,bazel,build @graknlabs_grakn_core//:assemble-linux-targz,False,False,2
